symbol,price,daily_change_pct,rsi,ema_20,ema_50,ema_200,volume_ratio,support,resistance,entry_low,entry_high,stop_loss,target_1,target_2,target_3,risk_reward_to_target1,score,signal,breakout
HDFCBANK,719.1,1.53,49.8,714.18,734.94,811.91,1.34,681.9,739.75,692.13,719.1,675.08,785.13,829.15,873.17,1.5,3.5,AVOID,False
HAL,4760.0,-2.96,43.79,4873.74,4760.49,4537.27,0.5,4707.0,5149.9,4760.0,4760.0,4587.28,5019.09,5191.81,5364.54,1.5,3.5,AVOID,False
MOTILALOFS,999.9,-2.59,51.9,1004.5,963.81,897.56,0.27,930.05,1060.2,944.0,999.9,920.75,1118.63,1197.78,1276.93,1.5,3.5,AVOID,False
MCX,3206.4,-2.12,52.8,3212.08,3060.87,2682.36,0.55,2916.0,3400.0,2959.74,3206.4,2886.84,3685.74,4005.3,4324.86,1.5,3.5,AVOID,False
POLICYBZR,1780.0,-0.96,51.38,1790.59,1726.6,1676.67,0.52,1721.1,1875.0,1746.92,1780.0,1703.89,1894.17,1970.28,2046.39,1.5,3.5,AVOID,False
PERSISTENT,5554.5,0.7,50.69,5565.57,5434.47,5342.48,1.17,5370.5,5910.0,5451.06,5554.5,5312.42,5917.62,6159.69,6401.77,1.5,3.5,AVOID,False
MOTHERSON,162.08,-1.44,48.64,163.59,158.36,138.0,0.55,159.92,173.27,162.08,162.08,156.16,170.96,176.88,182.8,1.5,3.5,AVOID,False
SIEMENS,3836.1,-3.06,39.46,3955.73,3874.83,3586.88,0.52,3818.1,4149.4,3836.1,3836.1,3690.48,4054.52,4200.14,4345.75,1.5,3.5,AVOID,False
SWIGGY,278.8,0.22,51.37,278.07,275.17,300.86,0.28,261.35,293.0,265.27,278.8,258.74,308.9,328.96,349.02,1.5,3.5,AVOID,False
TATACAP,356.0,-1.9,40.21,365.59,360.59,343.42,0.64,354.0,378.0,356.0,356.0,344.36,373.46,385.09,396.73,1.5,3.5,AVOID,False
TCS,2302.2,4.61,51.17,2287.28,2292.55,2500.75,1.53,2185.5,2399.3,2218.28,2302.2,2163.64,2510.03,2648.59,2787.14,1.5,3.5,AVOID,False
TITAN,4895.5,-2.28,39.31,5012.94,4885.26,4410.33,0.59,4885.5,5186.7,4895.5,4895.5,4776.59,5073.86,5192.77,5311.68,1.5,3.5,AVOID,False
TORNTPHARM,4887.0,-1.58,46.5,4939.21,4881.12,4449.68,0.96,4823.0,5066.0,4887.0,4887.0,4731.46,5120.31,5275.84,5431.38,1.5,3.5,AVOID,False
UNIONBANK,176.65,-0.81,39.59,182.83,179.82,170.26,0.33,175.53,192.33,176.65,176.65,169.86,186.83,193.62,200.41,1.5,3.5,AVOID,False
ABB,7124.0,-2.06,34.65,7415.42,7366.48,6668.03,0.81,7036.5,7760.0,7124.0,7124.0,6867.11,7509.33,7766.22,8023.11,1.5,3.0,AVOID,False
AUBANK,1040.0,-1.78,39.42,1070.41,1059.99,986.74,0.22,1033.2,1144.1,1040.0,1040.0,1006.07,1090.89,1124.82,1158.74,1.5,3.0,AVOID,False
ADANIENT,2992.9,-2.19,48.3,3009.03,2996.86,2697.92,0.35,2830.5,3173.7,2872.96,2992.9,2802.2,3278.96,3469.66,3660.37,1.5,3.0,AVOID,False
ABCAPITAL,385.35,-2.44,37.7,400.93,398.06,365.14,0.55,384.4,416.45,385.35,385.35,371.13,406.68,420.91,435.13,1.5,3.0,AVOID,False
BSE,3364.9,-0.56,48.53,3358.97,3474.82,3304.87,0.55,3131.5,3474.0,3178.47,3364.9,3100.18,3761.97,4026.69,4291.4,1.5,3.0,AVOID,False
BAJFINANCE,1015.7,-1.82,33.06,1057.78,1050.96,1001.31,0.57,1010.5,1107.0,1015.7,1015.7,983.93,1063.36,1095.14,1126.91,1.5,3.0,AVOID,False
COCHINSHIP,1351.0,-2.17,32.4,1478.39,1475.98,1530.76,1.21,1336.0,1577.9,1351.0,1351.0,1282.69,1453.47,1521.79,1590.1,1.5,3.0,AVOID,False
EICHERMOT,7494.5,-0.47,32.14,7792.77,7753.88,7420.2,0.52,7440.0,8165.0,7494.5,7494.5,7279.68,7816.72,8031.54,8246.35,1.5,3.0,AVOID,False
FEDERALBNK,342.0,-0.73,43.48,347.52,343.71,302.71,0.29,337.6,364.2,342.0,342.0,332.31,356.53,366.22,375.91,1.5,3.0,AVOID,False
GAIL,171.66,-1.13,44.9,173.94,173.19,170.06,0.5,170.11,177.5,171.66,171.66,166.77,178.99,183.88,188.77,1.5,3.0,AVOID,False
HINDALCO,972.2,-0.95,36.98,1013.59,1012.31,964.37,0.42,966.2,1061.8,972.2,972.2,937.21,1024.68,1059.67,1094.65,1.5,3.0,AVOID,False
INDHOTEL,723.2,0.65,49.78,723.0,720.59,706.97,1.08,701.55,737.9,712.07,723.2,694.53,766.2,794.86,823.53,1.5,3.0,AVOID,False
INDUSTOWER,383.85,-1.07,52.56,379.32,385.86,399.88,0.28,367.35,390.85,372.86,383.85,363.68,414.11,434.28,454.46,1.5,3.0,AVOID,False
INDUSINDBK,966.0,-1.25,38.05,997.76,993.48,922.02,0.76,960.4,1022.0,966.0,966.0,935.44,1011.83,1042.39,1072.95,1.5,3.0,AVOID,False
JSWSTEEL,1244.2,-1.64,36.32,1295.59,1286.2,1237.33,0.37,1237.0,1351.0,1244.2,1244.2,1205.0,1302.99,1342.19,1381.39,1.5,3.0,AVOID,False
LTF,299.95,-2.96,38.77,312.11,310.1,292.11,0.35,299.25,327.3,299.95,299.95,287.27,318.97,331.64,344.32,1.5,3.0,AVOID,False
LENSKART,692.8,1.62,72.54,662.33,616.68,529.21,0.27,606.85,703.5,615.95,692.8,600.78,830.83,922.85,1014.86,1.5,3.0,AVOID,False
LODHA,1085.0,-2.86,31.74,1193.78,1168.82,1074.36,0.68,1075.5,1306.9,1085.0,1085.0,1018.37,1184.94,1251.57,1318.2,1.5,3.0,AVOID,False
M&MFIN,345.85,-2.89,32.66,370.13,364.74,337.78,0.32,345.4,397.5,345.85,345.85,328.76,371.49,388.58,405.68,1.5,3.0,AVOID,False
MAXHEALTH,1034.4,-0.32,52.44,1022.19,1037.84,1056.91,0.69,980.3,1048.0,995.0,1034.4,970.5,1130.25,1194.16,1258.06,1.5,3.0,AVOID,False
PIDILITIND,1543.0,-1.53,33.79,1611.95,1609.41,1534.14,0.29,1538.7,1687.7,1543.0,1543.0,1496.08,1613.38,1660.31,1707.23,1.5,3.0,AVOID,False
TVSMOTOR,4064.9,-1.46,37.48,4201.82,4099.88,3779.92,0.3,4052.9,4484.5,4064.9,4064.9,3913.66,4291.76,4442.99,4594.23,1.5,3.0,AVOID,False
TMCV,431.55,-0.69,36.69,453.01,445.33,416.58,0.32,425.35,487.8,431.55,431.55,411.6,461.48,481.44,501.39,1.5,3.0,AVOID,False
BHEL,422.75,-1.91,49.83,424.97,415.58,355.07,0.58,408.15,442.65,414.27,422.75,404.07,450.77,469.45,488.14,1.5,2.5,AVOID,False
GVT&D,4329.9,-4.8,47.46,4406.39,4419.15,4086.19,0.48,4025.0,4825.0,4085.37,4329.9,3984.75,4847.62,5192.77,5537.92,1.5,2.5,AVOID,False
GLENMARK,2380.7,-1.59,48.94,2405.63,2342.84,2214.5,0.34,2222.5,2537.6,2255.84,2380.7,2200.28,2651.34,2831.76,3012.19,1.5,2.5,AVOID,False
HCLTECH,1271.2,5.4,47.41,1282.99,1276.81,1329.15,1.54,1195.7,1368.0,1213.64,1271.2,1183.74,1402.39,1489.84,1577.3,1.5,2.5,AVOID,False
HINDZINC,569.1,-1.28,44.49,587.63,578.01,563.99,0.21,548.8,632.0,557.03,569.1,541.96,609.8,636.94,664.07,1.5,2.5,AVOID,False
HYUNDAI,2156.0,-0.83,46.36,2188.01,2133.51,2117.22,0.5,2095.8,2281.0,2127.24,2156.0,2074.84,2277.74,2358.89,2440.05,1.5,2.5,AVOID,False
NAUKRI,1274.0,1.85,45.78,1299.63,1253.22,1184.34,0.84,1244.8,1390.1,1263.47,1274.0,1217.39,1358.91,1415.52,1472.12,1.5,2.5,AVOID,False
LTM,4423.6,3.48,47.61,4473.93,4401.55,4609.03,1.25,4275.0,4700.0,4339.12,4423.6,4215.94,4735.09,4942.76,5150.42,1.5,2.5,AVOID,False
MPHASIS,2389.0,4.1,48.65,2398.69,2388.77,2449.67,2.12,2273.3,2546.0,2307.4,2389.0,2250.57,2596.65,2735.08,2873.52,1.5,2.5,AVOID,False
RADICO,4422.7,1.25,46.28,4485.17,4344.98,3684.34,0.45,4330.1,4747.0,4395.05,4422.7,4279.49,4637.52,4780.73,4923.94,1.5,2.5,AVOID,False
SAIL,176.07,-1.64,41.74,184.31,180.02,167.76,0.22,169.32,200.96,171.86,176.07,166.65,190.2,199.61,209.03,1.5,2.5,AVOID,False
ADANIENSOL,1363.9,-0.66,32.05,1460.3,1514.79,1327.33,0.11,1348.0,1637.0,1363.9,1363.9,1289.86,1474.95,1548.99,1623.03,1.5,2.0,AVOID,False
ADANIGREEN,1267.2,-1.1,41.09,1303.98,1345.53,1245.12,0.29,1214.9,1346.8,1233.12,1267.2,1202.75,1363.87,1428.32,1492.77,1.5,2.0,AVOID,False
ADANIPOWER,204.66,-2.53,45.3,208.35,210.33,191.63,0.37,198.0,217.4,200.97,204.66,195.93,217.75,226.48,235.2,1.5,2.0,AVOID,False
ASHOKLEY,160.3,-2.11,33.48,168.98,167.53,163.99,0.75,158.4,181.84,160.3,160.3,153.73,170.16,176.73,183.3,1.5,2.0,AVOID,False
BAJAJFINSV,1879.3,-1.79,32.43,1961.32,1945.0,1918.72,0.42,1871.5,2032.5,1879.3,1879.3,1823.97,1962.3,2017.64,2072.97,1.5,2.0,AVOID,False
BHARATFORG,1905.6,-2.02,33.65,2010.5,2048.05,1853.08,0.16,1898.2,2104.9,1905.6,1905.6,1827.57,2022.64,2100.67,2178.7,1.5,2.0,AVOID,False
BLUESTARCO,1509.2,-3.13,48.51,1507.4,1555.16,1686.81,0.52,1432.3,1565.1,1453.78,1509.2,1417.98,1646.03,1737.26,1828.48,1.5,2.0,AVOID,False
CHOLAFIN,1802.7,-2.34,42.64,1844.97,1817.49,1699.72,0.92,1773.5,1925.0,1800.1,1802.7,1732.66,1907.76,1977.8,2047.84,1.5,2.0,AVOID,False
CONCOR,490.5,-1.75,39.46,506.68,503.32,502.0,0.21,488.5,524.85,490.5,490.5,472.77,517.09,534.82,552.55,1.5,2.0,AVOID,False
DLF,631.05,-2.09,34.8,664.41,657.08,651.35,0.49,626.85,691.05,631.05,631.05,604.84,670.36,696.56,722.77,1.5,2.0,AVOID,False
EXIDEIND,415.1,0.59,37.0,432.22,432.36,396.89,0.46,409.7,477.6,415.1,415.1,397.43,441.61,459.28,476.95,1.5,2.0,AVOID,False
ICICIBANK,1357.7,-1.57,32.21,1408.88,1405.84,1372.92,0.61,1351.3,1454.0,1357.7,1357.7,1323.79,1408.56,1442.47,1476.38,1.5,2.0,AVOID,False
INDIANB,842.9,-1.24,38.59,868.02,862.3,844.67,0.3,835.0,906.7,842.9,842.9,812.3,888.8,919.4,950.01,1.5,2.0,AVOID,False
JUBLFOOD,466.25,-0.85,41.25,481.29,471.81,490.02,0.24,463.05,527.85,466.25,466.25,447.55,494.31,513.01,531.71,1.5,2.0,AVOID,False
NATIONALUM,356.8,-1.16,39.48,374.8,374.82,354.14,0.48,352.35,405.0,356.8,356.8,338.87,383.7,401.64,419.57,1.5,2.0,AVOID,False
NESTLEIND,1375.4,-0.57,31.42,1426.68,1442.56,1375.09,0.69,1365.5,1514.8,1375.4,1375.4,1331.27,1441.59,1485.72,1529.85,1.5,2.0,AVOID,False
OBEROIRLTY,1696.8,-2.54,28.97,1825.53,1821.14,1721.71,0.41,1691.4,1960.7,1696.8,1696.8,1626.92,1801.62,1871.5,1941.38,1.5,2.0,AVOID,False
PATANJALI,337.55,-1.01,29.77,345.35,361.43,441.47,0.83,336.0,356.2,337.55,337.55,327.88,352.06,361.74,371.41,1.5,2.0,AVOID,False
RECLTD,313.1,0.13,33.44,322.59,335.75,350.45,0.5,310.4,341.85,313.1,313.1,303.39,327.66,337.37,347.08,1.5,2.0,AVOID,False
SHRIRAMFIN,993.2,-3.44,31.18,1058.09,1059.28,973.4,0.95,988.0,1142.0,993.2,993.2,949.6,1058.6,1102.2,1145.8,1.5,2.0,AVOID,False
SUNPHARMA,1844.6,0.25,35.4,1895.7,1902.44,1819.11,0.33,1828.0,1984.8,1844.6,1844.6,1796.23,1917.15,1965.52,2013.89,1.5,2.0,AVOID,False
SUPREMEIND,3340.9,-0.7,36.46,3504.47,3501.73,3645.07,0.33,3337.0,3710.0,3340.9,3340.9,3209.55,3537.92,3669.26,3800.61,1.5,2.0,AVOID,False
TATAPOWER,367.2,0.7,48.12,367.13,374.52,386.91,0.45,347.0,382.05,352.2,367.2,343.53,402.71,426.38,450.05,1.5,2.0,AVOID,False
UPL,566.1,-1.2,42.71,575.38,584.8,632.72,0.39,557.95,591.0,566.1,566.1,549.88,590.44,606.66,622.88,1.5,2.0,AVOID,False
UNITDSPR,1385.9,-0.65,27.81,1460.16,1455.24,1388.32,0.22,1378.4,1563.4,1385.9,1385.9,1341.6,1452.36,1496.66,1540.97,1.5,2.0,AVOID,False
ZYDUSLIFE,1112.6,-0.58,44.22,1135.73,1125.42,1046.22,0.26,1092.6,1198.9,1108.99,1112.6,1067.97,1179.54,1224.17,1268.8,1.5,2.0,AVOID,False
COLPAL,1841.5,2.45,41.9,1863.42,1935.99,2058.97,0.75,1782.1,1958.9,1808.83,1841.5,1764.28,1957.33,2034.55,2111.77,1.5,1.5,AVOID,False
HEROMOTOCO,5280.0,1.12,42.62,5399.55,5364.83,5318.16,0.63,5167.0,5778.0,5244.5,5280.0,5101.14,5548.29,5727.16,5906.02,1.5,1.5,AVOID,False
INFY,1078.6,3.94,43.85,1100.63,1116.76,1241.59,1.28,1026.5,1156.0,1041.9,1078.6,1016.24,1172.15,1234.51,1296.88,1.5,1.5,AVOID,False
JINDALSTEL,1100.0,-1.83,42.02,1135.17,1123.46,1121.15,0.38,1058.0,1196.4,1073.87,1100.0,1047.42,1178.87,1231.45,1284.03,1.5,1.5,AVOID,False
KPITTECH,576.45,4.1,46.71,578.67,603.57,777.59,2.1,545.6,613.45,553.78,576.45,540.14,630.91,667.22,703.52,1.5,1.5,AVOID,False
ONGC,234.88,1.02,46.59,235.73,240.54,251.44,0.73,230.79,243.16,234.25,234.88,228.26,244.81,251.43,258.05,1.5,1.5,AVOID,False
SBICARD,628.5,-4.08,42.02,649.63,643.95,697.57,0.29,610.0,675.0,619.15,628.5,600.31,670.79,698.98,727.18,1.5,1.5,AVOID,False
TATAELXSI,3477.8,2.8,41.13,3553.91,3671.08,4270.39,1.85,3370.0,3777.6,3420.55,3477.8,3336.3,3690.05,3831.55,3973.05,1.5,1.5,AVOID,False
TMPV,308.6,2.49,40.31,313.3,326.33,380.84,1.73,296.5,331.7,300.95,308.6,293.54,331.2,346.26,361.33,1.5,1.5,AVOID,False
360ONE,1065.0,-2.38,30.47,1138.99,1140.25,1112.38,0.5,1056.7,1222.9,1065.0,1065.0,1018.14,1135.28,1182.14,1229.0,1.5,1.0,AVOID,False
ATGL,587.45,-1.24,22.15,623.35,647.75,635.21,0.29,585.9,687.9,587.45,587.45,564.83,621.39,644.01,666.64,1.5,1.0,AVOID,False
AMBUJACEM,385.55,-1.61,27.5,404.16,415.72,458.71,0.44,384.0,422.8,385.55,385.55,374.15,402.64,414.04,425.44,1.5,1.0,AVOID,False
ASIANPAINT,2430.6,-1.69,24.95,2557.82,2616.39,2590.94,0.44,2425.7,2678.7,2430.6,2430.6,2359.71,2536.93,2607.82,2678.71,1.5,1.0,AVOID,False
ASTRAL,1384.2,-1.93,29.94,1478.6,1479.42,1493.65,0.3,1382.0,1581.0,1384.2,1384.2,1331.54,1463.19,1515.84,1568.5,1.5,1.0,AVOID,False
BANKBARODA,234.82,-1.39,38.36,239.9,246.1,261.23,0.6,234.05,247.28,234.82,234.82,228.28,244.64,251.18,257.72,1.5,1.0,AVOID,False
BANKINDIA,138.36,-1.17,38.42,142.0,142.51,142.47,0.51,137.26,147.9,138.36,138.36,133.9,145.04,149.5,153.95,1.5,1.0,AVOID,False
BDL,1144.1,-3.86,24.87,1260.44,1287.48,1349.79,0.52,1141.0,1427.7,1144.1,1144.1,1087.66,1228.75,1285.19,1341.62,1.5,1.0,AVOID,False
BEL,390.4,-3.45,34.53,405.68,407.62,414.06,1.05,387.6,416.35,390.4,390.4,379.04,407.44,418.81,430.17,1.5,1.0,AVOID,False
BHARTIARTL,1834.8,0.2,41.54,1870.02,1891.45,1908.9,0.44,1811.9,1959.7,1834.8,1834.8,1786.61,1907.09,1955.29,2003.48,1.5,1.0,AVOID,False
BIOCON,388.0,-0.68,30.11,402.76,410.89,398.6,0.35,384.65,421.6,388.0,388.0,374.98,407.53,420.56,433.58,1.5,1.0,AVOID,False
BRITANNIA,4974.0,0.24,29.42,5182.15,5298.07,5556.83,0.41,4945.0,5561.0,4974.0,4974.0,4829.88,5190.18,5334.3,5478.41,1.5,1.0,AVOID,False
CANBK,123.2,-0.65,36.33,126.09,127.64,131.38,0.64,122.65,131.43,123.2,123.2,119.65,128.53,132.09,135.64,1.5,1.0,AVOID,False
CIPLA,1354.8,-0.82,31.53,1400.77,1414.42,1414.32,0.69,1347.7,1449.0,1354.8,1354.8,1321.18,1405.23,1438.86,1472.48,1.5,1.0,AVOID,False
COROMANDEL,1940.1,0.58,43.47,1962.86,1986.76,2053.03,0.32,1890.0,2104.8,1918.35,1940.1,1871.1,2043.6,2112.6,2181.6,1.5,1.0,AVOID,False
CUMMINSIND,4960.0,-2.17,32.78,5160.11,5292.35,5046.34,0.36,4944.0,5484.0,4960.0,4960.0,4780.68,5228.98,5408.3,5587.62,1.5,1.0,AVOID,False
DRREDDY,1152.1,-1.15,43.23,1163.84,1191.5,1243.53,1.04,1130.0,1197.2,1146.95,1152.1,1118.7,1202.2,1235.6,1269.0,1.5,1.0,AVOID,False
FORTIS,889.55,0.2,38.83,911.45,925.48,932.44,0.48,884.1,941.9,889.55,889.55,862.04,930.82,958.33,985.84,1.5,1.0,AVOID,False
GMRAIRPORT,94.52,-3.53,36.01,98.29,101.32,99.95,0.42,92.6,103.45,93.99,94.52,90.82,100.08,103.78,107.49,1.5,1.0,AVOID,False
GODFRYPHLP,1927.6,0.03,28.98,2051.4,2113.28,2333.26,0.49,1921.2,2167.7,1927.6,1927.6,1854.35,2037.48,2110.73,2183.99,1.5,1.0,AVOID,False
GODREJCP,870.6,0.65,29.06,904.21,958.97,1059.81,0.48,855.15,948.0,867.98,870.6,841.58,914.13,943.15,972.17,1.5,1.0,AVOID,False
GODREJPROP,1678.7,-3.96,22.56,1928.88,1963.31,1915.84,0.89,1667.0,2095.0,1678.7,1678.7,1578.05,1829.67,1930.32,2030.97,1.5,1.0,AVOID,False
HAVELLS,1089.6,-1.93,20.12,1187.95,1214.11,1289.46,0.42,1088.0,1315.0,1089.6,1089.6,1047.84,1152.24,1194.0,1235.77,1.5,1.0,AVOID,False
HUDCO,170.63,-1.23,21.7,181.06,189.57,201.43,0.4,170.2,192.0,170.63,170.63,164.24,180.22,186.61,193.0,1.5,1.0,AVOID,False
ICICIGI,1435.0,-1.7,16.8,1539.46,1615.27,1759.19,0.47,1431.9,1650.0,1435.0,1435.0,1387.88,1505.68,1552.81,1599.93,1.5,1.0,AVOID,False
IOC,133.81,-0.96,37.99,136.78,138.73,145.41,0.83,133.02,141.15,133.81,133.81,130.16,139.29,142.94,146.59,1.5,1.0,AVOID,False
IRCTC,460.85,-0.44,26.82,479.14,492.8,554.68,0.48,460.5,502.75,460.85,460.85,449.91,477.26,488.2,499.14,1.5,1.0,AVOID,False
IRFC,80.19,-1.11,22.97,83.57,86.89,99.52,0.57,80.05,87.56,80.19,80.19,78.01,83.46,85.63,87.81,1.5,1.0,AVOID,False
IREDA,110.15,-1.4,32.8,114.36,117.77,127.0,0.49,110.01,121.14,110.15,110.15,106.94,114.97,118.18,121.39,1.5,1.0,AVOID,False
INDIGO,4885.0,-1.77,34.04,5072.3,5099.63,5030.26,0.37,4822.0,5332.5,4885.0,4885.0,4720.04,5132.44,5297.4,5462.36,1.5,1.0,AVOID,False
JSWENERGY,514.95,-2.18,35.01,535.57,544.71,536.42,0.24,511.4,556.6,514.95,514.95,497.04,541.82,559.73,577.64,1.5,1.0,AVOID,False
JIOFIN,229.48,-0.18,33.53,237.82,241.2,255.16,0.72,226.44,249.9,229.48,229.48,222.59,239.81,246.7,253.58,1.5,1.0,AVOID,False
KEI,4510.5,-1.47,27.63,5058.62,5197.9,4896.37,0.35,4447.0,5899.0,4510.5,4510.5,4240.06,4916.15,5186.59,5457.02,1.5,1.0,AVOID,False
LT,3872.6,-1.48,35.46,3979.31,3990.11,3944.3,0.82,3835.7,4125.3,3872.6,3872.6,3779.34,4012.48,4105.74,4199.0,1.5,1.0,AVOID,False
LUPIN,2074.8,-0.96,25.77,2155.96,2240.87,2245.41,0.49,2058.0,2255.0,2074.8,2074.8,2014.92,2164.62,2224.5,2284.38,1.5,1.0,AVOID,False
M&M,3093.0,-0.45,28.65,3227.67,3251.84,3296.99,0.67,3069.1,3456.4,3093.0,3093.0,2998.7,3234.45,3328.74,3423.04,1.5,1.0,AVOID,False
MARICO,799.25,-0.36,33.21,826.93,835.85,802.48,0.45,795.5,867.35,799.25,799.25,776.02,834.1,857.33,880.57,1.5,1.0,AVOID,False
MFSL,1450.5,-1.79,35.78,1520.23,1545.84,1599.14,0.3,1445.4,1604.9,1450.5,1450.5,1393.84,1535.49,1592.15,1648.81,1.5,1.0,AVOID,False
MAZDOCK,2277.2,-2.64,26.5,2454.3,2466.14,2517.05,0.58,2271.2,2656.8,2277.2,2277.2,2186.17,2413.75,2504.78,2595.81,1.5,1.0,AVOID,False
MUTHOOTFIN,2753.7,-1.38,34.94,2912.22,2980.65,3183.63,0.22,2728.6,3246.5,2753.7,2753.7,2632.84,2934.99,3055.85,3176.71,1.5,1.0,AVOID,False
NHPC,76.02,-0.47,45.17,76.46,77.16,78.82,0.49,74.3,77.89,75.41,76.02,73.56,79.71,82.18,84.64,1.5,1.0,AVOID,False
NMDC,81.6,-0.97,38.72,84.65,85.16,83.73,0.43,81.25,89.1,81.6,81.6,78.66,86.01,88.95,91.9,1.5,1.0,AVOID,False
NTPC,329.1,-1.29,38.33,334.08,341.49,352.74,0.48,321.0,344.45,325.81,329.1,317.79,346.07,357.38,368.69,1.5,1.0,AVOID,False
PHOENIXLTD,1876.9,-0.69,40.69,1910.28,1920.14,1823.33,0.54,1825.1,1971.0,1852.48,1876.9,1806.85,1981.98,2052.03,2122.08,1.5,1.0,AVOID,False
POLYCAB,8201.5,-0.48,31.07,8682.56,8930.66,8531.51,0.33,8118.0,9445.0,8201.5,8201.5,7880.95,8682.33,9002.88,9323.43,1.5,1.0,AVOID,False
PFC,347.75,-1.61,34.43,359.55,380.48,401.67,0.55,336.3,376.55,341.34,347.75,332.94,369.97,384.78,399.6,1.5,1.0,AVOID,False
