symbol,date,price,daily_change_pct,rsi,ema_20,ema_50,ema_200,macd,macd_signal,volume_ratio,support,resistance,atr,entry_low,entry_high,stop_loss,target_1,target_2,target_3,risk_reward_to_target1,score,max_score,signal,breakout,reasons
SIEMENS,2026-09-15,3838.0,-3.01,39.6,3955.91,3874.91,3586.9,12.1181,39.3147,0.53,3818.1,4149.4,97.08,3838.0,3838.0,3692.38,4056.42,4202.04,4347.65,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero; Near support
SWIGGY,2026-09-15,278.75,0.2,51.32,278.07,275.16,300.86,0.4348,0.6846,0.28,261.35,293.0,8.54,265.27,278.75,258.74,308.77,328.78,348.8,1.5,3.5,10.0,AVOID,False,Price > fast EMA; Fast EMA > slow EMA; RSI bullish zone; MACD > zero
TATACAP,2026-09-15,355.85,-1.94,40.08,365.57,360.58,343.42,0.0146,1.8066,0.65,354.0,378.0,7.76,355.85,355.85,344.21,373.31,384.94,396.58,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero; Near support
TCS,2026-09-15,2298.3,4.43,50.77,2286.9,2292.4,2500.71,-19.12,-9.1904,1.55,2185.5,2399.3,60.67,2218.28,2298.3,2163.64,2500.28,2634.94,2769.59,1.5,3.5,10.0,AVOID,False,Price > fast EMA; RSI bullish zone; Volume 1.5x average; Positive daily momentum
TITAN,2026-09-15,4895.5,-2.28,39.31,5012.94,4885.26,4410.33,13.7921,44.3273,0.6,4885.5,5186.7,79.27,4895.5,4895.5,4776.59,5073.86,5192.77,5311.68,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero; Near support
TORNTPHARM,2026-09-15,4884.0,-1.64,46.31,4938.92,4881.0,4449.65,1.0081,9.6042,0.96,4823.0,5066.0,103.69,4884.0,4884.0,4728.46,5117.31,5272.84,5428.38,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero; Near support
UNIONBANK,2026-09-15,176.55,-0.87,39.46,182.82,179.81,170.26,0.0641,1.6897,0.33,175.53,192.33,4.53,176.55,176.55,169.76,186.73,193.52,200.31,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero; Near support
ABB,2026-09-15,7120.0,-2.12,34.52,7415.04,7366.33,6667.99,-51.8209,-6.4775,0.82,7036.5,7760.0,171.26,7120.0,7120.0,6863.11,7505.33,7762.22,8019.11,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
AUBANK,2026-09-15,1039.8,-1.8,39.36,1070.39,1059.98,986.74,-3.0591,3.7255,0.23,1033.2,1144.1,22.62,1039.8,1039.8,1005.87,1090.69,1124.62,1158.54,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
ADANIENT,2026-09-15,2988.9,-2.32,47.98,3008.65,2996.7,2697.88,-3.4957,-11.5236,0.35,2830.5,3173.7,84.14,2872.96,2988.9,2802.2,3268.96,3455.66,3642.37,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD bullish
ABCAPITAL,2026-09-15,384.9,-2.56,37.46,400.88,398.04,365.14,-2.6823,-0.6393,0.55,384.4,416.45,9.48,384.9,384.9,370.68,406.23,420.46,434.68,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
BSE,2026-09-15,3365.0,-0.56,48.54,3358.98,3474.83,3304.88,-43.9792,-64.5313,0.56,3131.5,3474.0,112.7,3178.47,3365.0,3100.18,3762.22,4027.04,4291.85,1.5,3.0,10.0,AVOID,False,Price > fast EMA; Price > long EMA; MACD bullish
BAJFINANCE,2026-09-15,1014.7,-1.91,32.82,1057.69,1050.93,1001.3,-11.1782,-4.8662,0.58,1010.5,1107.0,21.18,1014.7,1014.7,982.93,1062.36,1094.14,1125.91,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
COCHINSHIP,2026-09-15,1350.0,-2.24,32.32,1478.29,1475.94,1530.75,-8.1395,8.1137,1.23,1336.0,1577.9,45.54,1350.0,1350.0,1281.69,1452.47,1520.79,1589.1,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Volume 1.2x average; Near support
EICHERMOT,2026-09-15,7496.0,-0.45,32.19,7792.91,7753.94,7420.22,-74.4999,-14.2963,0.52,7440.0,8165.0,143.21,7496.0,7496.0,7281.18,7818.22,8033.04,8247.85,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
FEDERALBNK,2026-09-15,342.1,-0.7,43.58,347.53,343.71,302.71,-1.8027,-0.8281,0.29,337.6,364.2,6.46,342.1,342.1,332.41,356.63,366.32,376.01,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
GAIL,2026-09-15,170.79,-1.63,43.31,173.86,173.16,170.06,-0.1267,0.0888,0.54,170.11,177.5,3.26,170.79,170.79,165.9,178.12,183.01,187.9,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
HINDALCO,2026-09-15,972.1,-0.96,36.96,1013.58,1012.31,964.37,-6.0108,1.2453,0.43,966.2,1061.8,23.32,972.1,972.1,937.11,1024.58,1059.57,1094.55,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
INDHOTEL,2026-09-15,723.6,0.71,49.99,723.04,720.6,706.97,-1.8987,-1.6632,1.08,701.55,737.9,14.44,712.07,723.6,694.53,767.2,796.26,825.33,1.5,3.0,10.0,AVOID,False,Price > fast EMA; Fast EMA > slow EMA; Price > long EMA
INDUSTOWER,2026-09-15,383.65,-1.12,52.41,379.3,385.85,399.88,-1.45,-2.6904,0.28,367.35,390.85,9.5,372.86,383.65,363.68,413.61,433.58,453.56,1.5,3.0,10.0,AVOID,False,Price > fast EMA; RSI bullish zone; MACD bullish
INDUSINDBK,2026-09-15,965.7,-1.28,37.97,997.73,993.47,922.01,-6.5732,-2.8688,0.76,960.4,1022.0,20.37,965.7,965.7,935.14,1011.53,1042.09,1072.65,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
JSWSTEEL,2026-09-15,1242.3,-1.79,35.97,1295.41,1286.13,1237.31,-1.8703,6.635,0.37,1237.0,1351.0,26.13,1242.3,1242.3,1203.1,1301.09,1340.29,1379.49,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
LTF,2026-09-15,299.15,-3.22,38.25,312.03,310.07,292.1,-1.7658,-0.0733,0.35,299.15,327.3,8.46,299.15,299.15,286.46,318.18,330.87,343.56,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
LENSKART,2026-09-15,692.2,1.53,72.38,662.27,616.66,529.21,26.3066,27.0465,0.28,606.85,703.5,19.23,615.95,692.2,600.78,829.33,920.75,1012.16,1.5,3.0,10.0,AVOID,False,Price > fast EMA; Fast EMA > slow EMA; Price > long EMA; RSI overbought; MACD > zero; Positive daily momentum
LODHA,2026-09-15,1082.7,-3.06,31.51,1193.56,1168.73,1074.33,-17.8718,1.1197,0.69,1075.5,1306.9,44.43,1082.7,1082.7,1016.06,1182.66,1249.3,1315.94,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
M&MFIN,2026-09-15,345.3,-3.05,32.43,370.07,364.72,337.77,-5.0666,-1.0473,0.32,345.3,397.5,11.4,345.3,345.3,328.2,370.96,388.06,405.17,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
MAXHEALTH,2026-09-15,1033.4,-0.41,52.12,1022.1,1037.8,1056.9,-6.0782,-12.8639,0.69,980.3,1048.0,24.37,995.0,1033.4,970.5,1127.75,1190.66,1253.56,1.5,3.0,10.0,AVOID,False,Price > fast EMA; RSI bullish zone; MACD bullish
PIDILITIND,2026-09-15,1542.4,-1.56,33.71,1611.9,1609.39,1534.13,-20.3842,-7.7969,0.31,1538.7,1687.7,31.28,1542.4,1542.4,1495.48,1612.78,1659.71,1706.63,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
TVSMOTOR,2026-09-15,4065.0,-1.45,37.49,4201.83,4099.88,3779.92,-23.0683,16.043,0.31,4052.9,4484.5,100.82,4065.0,4065.0,3913.76,4291.86,4443.09,4594.33,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
TMCV,2026-09-15,431.05,-0.81,36.48,452.96,445.31,416.57,-2.9183,2.7126,0.32,425.35,487.8,13.3,431.05,431.05,411.1,460.98,480.94,500.89,1.5,3.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Near support
BHEL,2026-09-15,422.05,-2.08,49.42,424.9,415.56,355.06,3.5645,4.3442,0.59,408.15,442.65,11.96,414.27,422.05,404.07,449.02,467.0,484.99,1.5,2.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero
GVT&D,2026-09-15,4324.6,-4.91,47.29,4405.89,4418.94,4086.14,41.1573,19.6554,0.48,4025.0,4825.0,170.76,4085.37,4324.6,3984.75,4834.38,5174.23,5514.08,1.5,2.5,10.0,AVOID,False,Price > long EMA; MACD bullish; MACD > zero
GLENMARK,2026-09-15,2380.1,-1.62,48.86,2405.57,2342.82,2214.49,32.8466,44.9708,0.34,2222.5,2537.6,56.96,2255.84,2380.1,2200.28,2649.84,2829.66,3009.49,1.5,2.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero
HCLTECH,2026-09-15,1270.1,5.31,47.22,1282.88,1276.77,1329.14,-15.7544,-4.1697,1.55,1195.7,1368.0,37.53,1213.64,1270.1,1183.74,1399.64,1485.99,1572.35,1.5,2.5,10.0,AVOID,False,Fast EMA > slow EMA; Volume 1.6x average; Positive daily momentum
HINDZINC,2026-09-15,568.4,-1.4,44.29,587.56,577.99,563.98,3.6865,8.0991,0.21,548.8,632.0,18.09,557.03,568.4,541.27,609.1,636.24,663.37,1.5,2.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero
HYUNDAI,2026-09-15,2157.8,-0.75,46.62,2188.18,2133.58,2117.23,10.6983,22.1097,0.51,2095.8,2281.0,53.32,2127.24,2157.8,2074.84,2282.24,2365.2,2448.15,1.5,2.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero
NAUKRI,2026-09-15,1276.0,2.01,46.21,1299.82,1253.3,1184.36,-0.0911,14.8056,0.85,1244.8,1390.1,37.74,1263.47,1276.0,1219.39,1360.91,1417.52,1474.12,1.5,2.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Positive daily momentum
LTM,2026-09-15,4420.3,3.4,47.43,4473.61,4401.42,4609.0,-15.9446,21.1482,1.25,4275.0,4700.0,138.44,4339.12,4420.3,4212.64,4731.79,4939.46,5147.12,1.5,2.5,10.0,AVOID,False,Fast EMA > slow EMA; Volume 1.3x average; Positive daily momentum
MPHASIS,2026-09-15,2383.5,3.86,48.08,2398.16,2388.55,2449.61,-19.6286,-2.743,2.14,2273.3,2546.0,74.46,2307.4,2383.5,2250.57,2582.9,2715.83,2848.77,1.5,2.5,10.0,AVOID,False,Fast EMA > slow EMA; Volume 2.1x average; Positive daily momentum
RADICO,2026-09-15,4428.0,1.37,46.69,4485.67,4345.19,3684.39,-2.004,31.3606,0.47,4330.1,4747.0,95.55,4395.05,4428.0,4284.67,4642.99,4786.32,4929.65,1.5,2.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; Positive daily momentum
SAIL,2026-09-15,175.76,-1.81,41.46,184.28,180.01,167.75,1.9588,4.2212,0.23,169.32,200.96,6.28,171.86,175.76,166.34,189.89,199.3,208.72,1.5,2.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero
